ang_sep,delta_mag
0.0,0.0
0.01,0.0
0.02,0.0
0.025848,0.0
0.03,0.273457
0.04,0.932041
0.05,1.590626
0.06,2.24921
0.07,2.907794
0.08,3.566379
0.09,4.224963
0.1,4.883548
0.1,4.883548
0.11,4.91955
0.12,4.953709
0.13,4.987254
0.14,5.021414
0.15,5.057416
0.16,5.096489
0.17,5.139861
0.18,5.188679
0.19,5.242233
0.2,5.297952
0.21,5.353183
0.22,5.405276
0.23,5.451702
0.24,5.492775
0.25,5.531648
0.26,5.571599
0.27,5.615904
0.28,5.667719
0.29,5.727409
0.3,5.792548
0.31,5.860588
0.32,5.928982
0.33,5.995228
0.34,6.057907
0.35,6.11668
0.36,6.171255
0.37,6.221339
0.38,6.266662
0.39,6.30743
0.4,6.34433
0.41,6.378067
0.42,6.409349
0.43,6.438872
0.44,6.467121
0.45,6.494366
0.46,6.520868
0.47,6.546889
0.48,6.572697
0.49,6.598696
0.5,6.625428
0.51,6.65344
0.52,6.68328
0.53,6.715461
0.54,6.749688
0.55,6.78486
0.56,6.819839
0.57,6.853489
0.58,6.884708
0.59,6.913216
0.6,6.939552
0.61,6.96429
0.62,6.988006
0.63,7.011272
0.64,7.034618
0.65,7.058529
0.66,7.083488
0.67,7.109978
0.68,7.138454
0.69,7.168718
0.7,7.199921
0.71,7.231185
0.72,7.26163
0.73,7.29041
0.74,7.317361
0.75,7.343007
0.76,7.367902
0.77,7.3926
0.78,7.417642
0.79,7.443268
0.8,7.46942
0.81,7.496027
0.82,7.523018
0.83,7.55031
0.84,7.577529
0.85,7.604018
0.86,7.629102
0.87,7.652111
0.88,7.672399
0.89,7.689948
0.9,7.705365
0.91,7.719287
0.92,7.732349
0.93,7.74518
0.94,7.758278
0.95,7.772007
0.96,7.786728
0.97,7.802798
0.98,7.820564
0.99,7.840029
1.0,7.86086
1.01,7.882708
1.02,7.905223
1.03,7.928064
1.04,7.951046
1.05,7.974137
1.06,7.997317
1.07,8.020563
1.08,8.043846
1.09,8.066987
1.1,8.089657
1.11,8.11152
1.12,8.13224
1.13,8.151501
1.14,8.169379
1.15,8.186352
1.16,8.202914
1.17,8.219558
