ang_sep,delta_mag
0.0,0.0
0.01,0.0
0.02,0.0
0.025848,0.0
0.03,0.228945
0.04,0.780329
0.05,1.331713
0.06,1.883096
0.07,2.43448
0.08,2.985864
0.09,3.537247
0.1,4.088631
0.1,4.088631
0.11,4.138722
0.12,4.185388
0.13,4.230912
0.14,4.277578
0.15,4.32767
0.16,4.38347
0.17,4.447263
0.18,4.521208
0.19,4.604593
0.2,4.693836
0.21,4.785232
0.22,4.875073
0.23,4.959745
0.24,5.037695
0.25,5.10944
0.26,5.175585
0.27,5.236736
0.28,5.293428
0.29,5.344623
0.3,5.387701
0.31,5.419975
0.32,5.438759
0.33,5.441542
0.34,5.429841
0.35,5.409205
0.36,5.385359
0.37,5.364025
0.38,5.350821
0.39,5.348876
0.4,5.358838
0.41,5.381244
0.42,5.416633
0.43,5.46548
0.44,5.526797
0.45,5.598138
0.46,5.676989
0.47,5.76084
0.48,5.847238
0.49,5.935116
0.5,6.024785
0.51,6.11662
0.52,6.210995
0.53,6.308244
0.54,6.407813
0.55,6.50826
0.56,6.608103
0.57,6.705861
0.58,6.800048
0.59,6.889086
0.6,6.9713
0.61,7.045014
0.62,7.10855
0.63,7.160274
0.64,7.199524
0.65,7.226612
0.66,7.241893
0.67,7.245722
0.68,7.238515
0.69,7.222138
0.7,7.199902
0.71,7.175181
0.72,7.151351
0.73,7.131749
0.74,7.118877
0.75,7.114398
0.76,7.11994
0.77,7.137129
0.78,7.167525
0.79,7.211073
0.8,7.26611
0.81,7.330903
0.82,7.403718
0.83,7.482828
0.84,7.56663
0.85,7.653649
0.86,7.742413
0.87,7.831451
0.88,7.919311
0.89,8.004943
0.9,8.087699
0.91,8.166952
0.92,8.242071
0.93,8.312424
0.94,8.377288
0.95,8.435847
0.96,8.487282
0.97,8.530775
0.98,8.565538
0.99,8.591483
1.0,8.60922
1.01,8.619392
1.02,8.622642
1.03,8.619633
1.04,8.611534
1.05,8.600022
1.06,8.586793
1.07,8.573544
1.08,8.561942
1.09,8.552931
1.1,8.546737
1.11,8.543553
1.12,8.543572
1.13,8.546962
1.14,8.553296
1.15,8.561551
1.16,8.57068
1.17,8.579634
