M_sun,Teff,log(L),Radius,log(g),V,R,I,J,H,K,L_prime,M,M_jup
0.0005,111.0,-8.851,0.102,3.115,60.75,55.23,50.5,40.19,35.07,55.87,24.15,21.49,0.5237827573302386
0.001,160.0,-8.185,0.106,3.386,54.15,49.1,44.69,35.58,32.06,49.17,22.4,19.95,1.0475655146604772
0.002,226.0,-7.56,0.109,3.662,44.39,39.91,36.34,29.28,27.8,40.31,20.18,17.94,2.0951310293209544
0.003,270.0,-7.244,0.111,3.827,37.64,33.6,30.73,25.29,24.99,34.51,18.84,16.66,3.142696543981432
0.004,304.0,-7.031,0.111,3.95,32.62,28.93,26.6,22.49,22.91,30.25,17.91,15.73,4.190262058641909
0.005,342.0,-6.831,0.11,4.051,31.58,27.79,25.36,21.71,21.98,28.28,17.38,15.36,5.237827573302386
0.006,377.0,-6.664,0.11,4.134,30.53,26.63,24.12,20.96,21.07,26.39,16.87,15.01,6.285393087962864
0.007,403.0,-6.556,0.109,4.208,29.77,25.79,23.26,20.41,20.43,25.04,16.54,14.76,7.332958602623341
0.008,438.0,-6.417,0.108,4.272,29.37,25.31,22.73,19.93,19.89,23.77,16.18,14.5,8.380524117283818
0.009,464.0,-6.325,0.107,4.331,29.06,24.94,22.33,19.59,19.49,22.85,15.93,14.31,9.428089631944294
0.01,491.0,-6.235,0.107,4.383,28.74,24.55,21.89,19.23,19.07,21.9,15.65,14.11,10.475655146604772
0.012,578.0,-5.955,0.106,4.467,28.09,23.75,21.01,18.15,18.03,19.86,14.88,13.6,12.570786175925727
0.015,628.0,-5.835,0.103,4.587,27.86,23.47,20.72,17.7,17.62,19.05,14.56,13.38,15.713482719907157
0.02,766.0,-5.514,0.1,4.736,27.31,22.85,20.05,16.56,16.55,17.19,13.72,12.8,20.951310293209545
0.03,1009.0,-5.071,0.096,4.948,26.4,21.96,19.15,15.1,15.16,15.14,12.67,12.15,31.426965439814314
0.04,1271.0,-4.696,0.093,5.099,25.19,20.99,18.13,14.04,14.04,13.9,11.88,11.8,41.90262058641909
0.05,1543.0,-4.374,0.092,5.211,23.73,19.81,17.15,13.21,13.12,13.04,11.25,11.53,52.37827573302386
0.06,1801.0,-4.106,0.092,5.291,22.13,18.59,16.1,12.56,12.36,12.27,10.77,11.26,62.85393087962863
0.07,2082.0,-3.829,0.094,5.333,20.44,17.31,14.87,11.93,11.62,11.43,10.32,10.85,73.32958602623341
0.072,2140.0,-3.772,0.095,5.336,20.12,17.05,14.61,11.8,11.48,11.27,10.23,10.75,75.42471705555435
0.075,2234.0,-3.679,0.098,5.334,19.59,16.63,14.21,11.6,11.25,11.02,10.08,10.58,78.56741359953578
0.08,2383.0,-3.527,0.102,5.323,18.67,15.96,13.61,11.26,10.89,10.63,9.84,10.27,83.80524117283818
0.09,2627.0,-3.268,0.113,5.285,16.98,14.86,12.67,10.72,10.3,10.03,9.4,9.72,94.28089631944295
0.1,2784.0,-3.083,0.125,5.246,15.86,14.09,12.09,10.33,9.89,9.62,9.07,9.31,104.75655146604772
