M_sun,Teff,log(L),Radius,log(g),V,R,I,J,H,K,L_prime,M,M_jup
0.003,125.0,-8.629,0.104,3.879,61.46,55.89,50.79,38.29,35.04,54.28,23.36,20.89,3.142696543981432
0.004,149.0,-8.325,0.104,4.006,58.0,52.62,47.86,36.01,33.56,51.11,22.59,20.19,4.190262058641909
0.005,172.0,-8.087,0.103,4.109,54.62,49.46,45.05,34.06,32.18,48.26,21.92,19.57,5.237827573302386
0.006,193.0,-7.888,0.102,4.195,51.29,46.38,42.3,32.23,30.85,45.53,21.29,18.97,6.285393087962864
0.007,213.0,-7.724,0.102,4.27,48.17,43.5,39.72,30.55,29.62,43.01,20.71,18.41,7.332958602623341
0.008,232.0,-7.584,0.101,4.335,45.19,40.77,37.28,29.0,28.46,40.66,20.18,17.89,8.380524117283818
0.009,249.0,-7.469,0.1,4.393,42.49,38.3,35.07,27.62,27.41,38.55,19.7,17.42,9.428089631944294
0.01,265.0,-7.368,0.099,4.445,39.95,35.99,33.0,26.34,26.44,36.59,19.26,16.98,10.475655146604772
0.012,293.0,-7.204,0.098,4.536,35.23,31.68,29.12,24.04,24.64,33.06,18.48,16.2,12.570786175925727
0.015,330.0,-7.016,0.096,4.65,32.81,29.25,26.8,22.7,23.33,30.46,17.93,15.76,15.713482719907157
0.02,389.0,-6.759,0.093,4.802,30.75,26.99,24.64,21.28,21.73,27.02,17.21,15.19,20.951310293209545
0.03,504.0,-6.358,0.088,5.029,28.98,24.87,22.35,19.72,19.68,22.59,16.04,14.37,31.426965439814314
0.04,634.0,-6.004,0.083,5.2,28.18,23.85,21.19,18.33,18.33,19.99,15.03,13.75,41.90262058641909
0.05,776.0,-5.695,0.079,5.338,27.64,23.21,20.47,17.1,17.18,18.07,14.23,13.21,52.37827573302386
0.06,941.0,-5.393,0.076,5.45,27.2,22.74,19.93,16.04,16.18,16.55,13.5,12.73,62.85393087962863
0.07,1289.0,-4.832,0.078,5.503,25.69,21.45,18.6,14.37,14.43,14.36,12.27,12.08,73.32958602623341
0.072,1556.0,-4.472,0.081,5.481,24.17,20.22,17.48,13.44,13.41,13.36,11.55,11.75,75.42471705555435
0.075,1997.0,-3.954,0.089,5.415,21.1,17.85,15.39,12.23,11.95,11.81,10.56,11.08,78.56741359953578
0.08,2322.0,-3.602,0.099,5.353,19.1,16.27,13.89,11.43,11.06,10.82,9.97,10.43,83.80524117283818
0.09,2624.0,-3.274,0.113,5.289,17.01,14.88,12.69,10.73,10.31,10.04,9.41,9.73,94.28089631944295
0.1,2786.0,-3.082,0.125,5.246,15.85,14.09,12.08,10.32,9.88,9.62,9.07,9.3,104.75655146604772
