M_sun,Teff,log(L),Radius,log(g),V,R,I,J,H,K,L_prime,M,M_jup
0.0005,141.0,-8.415,0.105,3.097,56.3,51.03,46.6,37.42,33.07,51.62,23.09,20.59,0.5237827573302386
0.001,203.0,-7.753,0.109,3.365,47.57,42.88,38.99,31.61,29.15,43.23,20.93,18.68,1.0475655146604772
0.002,272.0,-7.218,0.112,3.639,37.05,33.0,30.06,25.07,24.62,34.02,18.66,16.58,2.0951310293209544
0.003,322.0,-6.913,0.113,3.805,32.02,28.23,25.75,22.05,22.27,29.03,17.52,15.53,3.142696543981432
0.004,370.0,-6.67,0.114,3.928,30.65,26.73,24.16,21.01,21.06,26.45,16.85,15.05,4.190262058641909
0.005,409.0,-6.496,0.113,4.027,29.6,25.57,22.94,20.2,20.11,24.54,16.32,14.67,5.237827573302386
0.006,449.0,-6.34,0.113,4.112,29.16,25.05,22.39,19.64,19.51,23.1,15.92,14.36,6.285393087962864
0.007,488.0,-6.2,0.112,4.185,28.71,24.51,21.8,19.1,18.91,21.68,15.52,14.06,7.332958602623341
0.008,525.0,-6.08,0.111,4.249,28.4,24.14,21.41,18.65,18.46,20.74,15.19,13.83,8.380524117283818
0.009,564.0,-5.963,0.11,4.307,28.14,23.82,21.07,18.21,18.04,19.95,14.88,13.63,9.428089631944294
0.01,599.0,-5.864,0.11,4.358,27.91,23.53,20.77,17.8,17.66,19.22,14.59,13.43,10.475655146604772
0.012,759.0,-5.447,0.11,4.432,27.2,22.73,19.91,16.38,16.29,16.82,13.51,12.68,12.570786175925727
0.015,791.0,-5.404,0.107,4.557,27.11,22.63,19.81,16.2,16.16,16.58,13.41,12.6,15.713482719907157
0.02,936.0,-5.133,0.104,4.704,26.53,22.07,19.27,15.33,15.34,15.37,12.78,12.21,20.951310293209545
0.03,1264.0,-4.636,0.101,4.905,24.97,20.77,17.95,13.9,13.87,13.69,11.7,11.68,31.426965439814314
0.04,1583.0,-4.255,0.1,5.04,23.11,19.28,16.74,12.92,12.76,12.68,10.95,11.33,41.90262058641909
0.05,1875.0,-3.955,0.101,5.131,21.31,17.94,15.53,12.21,11.95,11.79,10.44,10.99,52.37827573302386
0.06,2116.0,-3.729,0.102,5.194,19.99,16.91,14.5,11.69,11.36,11.13,10.1,10.63,62.85393087962863
0.07,2329.0,-3.534,0.106,5.233,18.84,16.04,13.68,11.27,10.9,10.63,9.81,10.26,73.32958602623341
0.072,2369.0,-3.498,0.107,5.238,18.6,15.89,13.54,11.19,10.81,10.54,9.75,10.19,75.42471705555435
0.075,2426.0,-3.445,0.108,5.244,18.25,15.66,13.33,11.08,10.69,10.42,9.67,10.08,78.56741359953578
0.08,2518.0,-3.356,0.111,5.248,17.65,15.27,13.0,10.89,10.49,10.22,9.53,9.89,83.80524117283818
0.09,2680.0,-3.189,0.119,5.241,16.54,14.56,12.43,10.55,10.12,9.85,9.25,9.53,94.28089631944295
0.1,2804.0,-3.047,0.128,5.223,15.68,13.96,11.98,10.25,9.8,9.54,9.0,9.22,104.75655146604772
