#SpT,Teff,V,R,I,J,H,K_s,W1,M_jup
B1V,26000.0,-3.0,-2.885,-2.675,-2.33,-2.182,-2.126,-2.1439999999999997,11523.220661265252
B1.5V,24500.0,-2.6,-2.486,-2.319,-2.03,-1.8979999999999997,-1.848,-1.869,10475.655146604775
B2V,20600.0,-1.8,-1.706,-1.57,-1.34,-1.227,-1.198,-1.2209999999999999,7647.228257021485
B2.5V,18500.0,-1.5,-1.413,-1.29,-1.09,-0.9850000000000001,-0.956,-0.981,6285.393087962864
B3V,17000.0,-1.2,-1.1199999999999999,-1.008,-0.83,-0.732,-0.708,-0.734,5656.8537791665785
B4V,16400.0,-1.0,-0.926,-0.8240000000000001,-0.66,-0.5680000000000001,-0.553,-0.5810000000000001,5342.584124768435
B5V,15700.0,-0.85,-0.78,-0.6849999999999999,-0.54,-0.45100000000000007,-0.433,-0.462,4923.557918904245
B6V,14500.0,-0.55,-0.48800000000000004,-0.405,-0.28,-0.199,-0.192,-0.222,4504.531713040053
B7V,14000.0,-0.4,-0.342,-0.267,-0.16,-0.083,-0.075,-0.106,4106.456817469071
B8V,12300.0,0.0,0.048,0.108,0.19,0.257,0.254,0.221,3540.7714395524135
B9V,10700.0,0.5,0.528,0.5609999999999999,0.59,0.64,0.621,0.583,2880.805165316313
B9.5V,10400.0,0.6,0.617,0.635,0.63,0.674,0.648,0.608,2807.4755792900796
A0V,9700.0,0.99,0.989,0.986,0.95,0.982,0.949,0.9069999999999999,2283.692821959841
A1V,9300.0,1.16,1.141,1.1159999999999999,1.08,1.105,1.07,1.0270000000000001,2147.5093050539786
A2V,8800.0,1.35,1.308,1.2590000000000001,1.19,1.202,1.172,1.128,2074.1797190277453
A3V,8600.0,1.7,1.65,1.5919999999999999,1.49,1.487,1.447,1.4020000000000001,1948.471857268488
A4V,8250.0,1.94,1.8619999999999999,1.776,1.65,1.628,1.587,1.541,2021.8014432947214
A5V,8100.0,2.01,1.9209999999999998,1.8239999999999998,1.68,1.649,1.607,1.561,1969.4231675616975
