bjd,mnvel,errvel,tel
2458802.8,-0.6498031051505695,2.122727720863791,hires_j
2458815.779,-1.3855707644411437,2.092591870493849,hires_j
2458819.743,-3.4944753330608838,2.1239247583360727,hires_j
2458827.694,1.9673917517313808,2.1380142024021267,hires_j
2458832.706,-2.046332157203578,2.150667755348377,hires_j
2458833.705,1.4812148831636645,2.1480564108592097,hires_j
2458837.7393034017,-4.692957829011443,4.994888256891637,apf
2458844.711,3.6502394730592327,2.055149643935428,hires_j
2458845.693,5.554326351410477,2.1078118666872983,hires_j
2458846.7421787423,1.8952653528882326,5.961832643912629,apf
2458852.706,4.198360848299773,2.1083881670015057,hires_j
2458853.03770289,-7.591565604028434,5.320722728178691,apf
2458854.6084656618,4.700045805127886,6.137794781065339,apf
2458857.706,8.760747094086797,2.3043735967348926,hires_j
2458859.7210993227,7.021671851351325,4.888518156147542,apf
2458861.0374920527,22.251093387922516,8.050778136871687,apf
2458871.644895183,-7.57889667129633,6.106716698438292,apf
2458876.6900347467,-4.299852618261663,5.173415371815143,apf
2458880.673429391,3.8706980993005953,4.8865319964595875,apf
2458881.642,2.514506524464777,5.2942713442067335,apf
2458885.937,-7.315217136179246,8.179980104106539,apf
2458896.924,19.062588432730088,18.599404553836965,apf
2458912.907,15.698570562486346,5.450897020469793,apf
2458915.058,14.470993696690385,8.134484520054125,apf
2458922.054,4.295913431562612,4.852337884143946,apf
2458954.971,2.983619588425382,4.717001228751787,apf
2458961.937,7.092217146822929,5.0851678725771805,apf
2458964.952,13.94958918081577,4.595572215706079,apf
2458966.926,4.294596285308158,5.5983321265221155,apf
2458968.913,20.47411089949322,5.488786564618972,apf
2458969.748,3.142823407312193,5.917869989440472,apf
2458970.932,15.842064337931895,5.487539282794798,apf
2458971.815,13.913743247905888,5.031473110302367,apf
2458973.833,18.448431250396695,4.940351764788568,apf
2458974.91,13.307801020976441,4.883026430421057,apf
2458976.89,13.254630149071719,5.840371712234807,apf
2458977.89,9.440848388649933,4.827783808512172,apf
2458978.938,10.052607737257789,4.800566199834409,apf
2458979.785,14.740294512774398,5.102558776756252,apf
2458980.915,18.693073406311186,10.307653115652649,apf
2458985.912,-12.198701254265943,8.644934683227277,apf
2458991.987,11.306674210745857,6.6055183751998685,apf
2458996.11,18.401735481182588,1.960278151228636,hires_j
2458996.906,22.183767590947188,4.620791928274008,apf
2459000.0840000003,19.287053782606804,1.9900640143250656,hires_j
2459002.899,16.293207031481273,5.085560046185671,apf
2459003.071,19.959983305705002,1.9718741296181248,hires_j
2459003.825,21.179220346165415,4.836879476004305,apf
2459004.064,18.68376503216828,1.9492273144545864,hires_j
2459005.897,24.42654379208789,4.8200035149684295,apf
2459006.821,26.67921162114844,7.655853695341272,apf
2459007.0530000003,16.974639479139874,1.9301897969038624,hires_j
2459008.095,18.979969386552852,1.972465303456142,hires_j
2459009.8430000003,13.117651939360329,4.574223320762983,apf
2459010.955,9.744498905898357,4.5234661005268615,apf
2459011.055,17.059670941196433,1.9567252057314584,hires_j
2459011.912,19.086203672724864,4.544306916313708,apf
2459012.068,18.436643281965317,1.9524051789070371,hires_j
2459012.824,11.85389594862107,5.943335629714683,apf
2459013.032,21.27218050758114,1.934437848275906,hires_j
2459014.081,21.01533051238247,1.991462728409907,hires_j
2459016.828,17.20645974628883,5.0809522184041835,apf
2459016.93,21.60578382291801,2.159968450125612,hires_j
2459017.954,19.867734124492546,4.932509329445604,apf
2459018.862,15.67539051044903,4.7346941731214605,apf
2459019.041,22.97775378200977,1.9754211319430373,hires_j
2459019.842,22.668806410285654,4.637588122765416,apf
2459025.029,20.012349253789914,2.010226501273481,hires_j
2459026.098,23.31272214284146,1.9920877259984815,hires_j
2459027.971,17.875209482532377,4.495198704199028,apf
2459028.032,21.701321334543813,1.9225289990361871,hires_j
2459028.859,16.316624417325034,6.185379446018147,apf
2459029.028,20.36271207657311,1.938401678516396,hires_j
2459030.045,20.4498665363429,1.9816455622057465,hires_j
2459030.983,22.73060547224746,4.319510644744625,apf
2459031.059,22.334123409533056,1.9405994284327441,hires_j
2459032.041,20.416707524622,2.018735921211044,hires_j
2459034.901,25.242544797951812,4.362314426093027,apf
2459035.038,25.175499982595664,1.963142814447265,hires_j
2459036.07,21.95050964854582,1.986616632334317,hires_j
2459036.909,25.42477157655773,1.9752746879424723,hires_j
2459039.066,21.168800301125426,1.96103609669814,hires_j
2459039.975,19.325236907299765,4.490204388228567,apf
2459040.076,27.700768730387466,1.9946962425039287,hires_j
2459040.91,23.506650718321215,1.9456655485022103,hires_j
2459041.821,19.50136727111818,4.529135657742015,apf
2459041.909,22.78957087015187,1.9715651061397343,hires_j
2459042.882,20.682314199558526,4.464216931403959,apf
2459043.081,22.521071247092408,1.97304722002922,hires_j
2459043.83,20.869999734742763,4.37408056156663,apf
2459044.869,23.102393473193302,4.33792284217185,apf
2459044.947,23.812361591667198,1.991280464020645,hires_j
2459045.818,26.238527549442004,4.40390717219186,apf
2459048.851,22.91488755311609,4.259690017343133,apf
2459049.811,16.990862250622683,4.7062991984045075,apf
2459050.762,15.965266540934772,4.448836197656803,apf
2459051.78,21.422140617627356,4.3592772409187335,apf
2459051.907,26.57066151929744,1.9872237454322084,hires_j
2459052.859,21.930704818290987,4.561171800453097,apf
2459053.782,23.245610026552594,4.562684175434463,apf
2459054.799,18.08446410153303,4.719188071696473,apf
2459055.769,24.629241097075866,4.5807465471025735,apf
2459056.7630000003,22.248531858238792,4.639519895123384,apf
2459057.819,18.967000831781018,4.786074342800821,apf
2459058.071,21.62662438390724,2.040693641005213,hires_j
2459058.846,20.96860687447521,4.706113760801303,apf
2459059.734,24.73087199484478,4.3914688839672635,apf
2459060.784,14.741977441546947,4.486514857739904,apf
2459061.806,13.375621740259676,4.332421979864572,apf
2459062.7830000003,22.927294472331994,4.507295910586598,apf
2459063.808,24.56080513210475,4.719570592422077,apf
2459064.016,21.3562988808206,1.9409523639928763,hires_j
2459064.7830000003,20.561779180368298,4.5162422343231725,apf
2459065.828,25.316898402923794,4.599861975396731,apf
2459066.811,21.531468295118508,4.6923904778290035,apf
2459067.988,27.012293587887534,2.4153039238098946,hires_j
2459068.784,21.27592401190199,4.559789161385353,apf
2459068.926,24.95653508505933,1.976935666676839,hires_j
2459069.77,19.17183898511462,4.5416395669292315,apf
2459070.767,13.187635478379223,4.718290538093235,apf
2459071.752,17.895870046610852,4.720867830796972,apf
2459071.896,26.05034675521075,2.040875016080205,hires_j
2459072.743,19.090103504996414,4.3651301518887635,apf
2459072.855,26.74821106370903,1.926235273457936,hires_j
2459073.755,27.155070037753188,4.463457975004532,apf
2459074.743,19.485137687911852,4.537640754444906,apf
2459075.77,29.877624562551166,9.598174007840443,apf
2459076.768,18.550281393827476,4.5654488838425005,apf
2459077.826,24.2675064278487,1.9514001835288568,hires_j
2459078.801,28.10254409194924,1.9511722951199009,hires_j
2459087.911,28.859054764397072,1.9587791218486583,hires_j
2459088.836,30.365277821194017,1.9889881394024296,hires_j
2459089.813,28.099538928771643,1.951699153233356,hires_j
2459091.042,27.77572706365079,1.955858052876433,hires_j
2459092.02,26.791175761573083,1.9849987508259008,hires_j
2459093.025,29.03939790013157,1.9773618468973484,hires_j
2459094.805,28.55438947950439,1.95627497334906,hires_j
2459097.964,29.020248616122462,2.006975386528212,hires_j
2459099.749,28.362405843267553,2.078631519516333,hires_j
2459100.716,29.51669883177677,1.9999449262671611,hires_j
2459101.716,27.3293045415404,1.9447646839637376,hires_j
2459114.817,30.42751638053239,2.000849699454201,hires_j
2459117.974,28.057399509981025,2.0014066924993648,hires_j
2459118.9790000003,25.081851532096127,2.2467945555395654,hires_j
2459119.861,29.298643821691947,2.0077215923012632,hires_j
2459120.955,26.092819128331207,1.979994713185276,hires_j
2459121.7180000003,27.756615696457,2.1283394965249016,hires_j
