ang_sep,delta_mag
0.0,0.0
0.01,0.0
0.02,0.0
0.025848,0.0
0.03,0.286026
0.04,0.974882
0.05,1.663738
0.06,2.352594
0.07,3.041449
0.08,3.730305
0.09,4.419161
0.1,5.108016
0.1,5.108016
0.11,5.131735
0.12,5.152401
0.13,5.17205
0.14,5.192717
0.15,5.216435
0.16,5.245241
0.17,5.281168
0.18,5.326133
0.19,5.379303
0.2,5.437105
0.21,5.49584
0.22,5.551813
0.23,5.601427
0.24,5.643325
0.25,5.678397
0.26,5.707628
0.27,5.732004
0.28,5.752513
0.29,5.770186
0.3,5.786098
0.31,5.801325
0.32,5.816943
0.33,5.834007
0.34,5.853066
0.35,5.874165
0.36,5.897328
0.37,5.922578
0.38,5.949938
0.39,5.979432
0.4,6.011087
0.41,6.044932
0.42,6.080992
0.43,6.119275
0.44,6.159341
0.45,6.2003
0.46,6.241243
0.47,6.281262
0.48,6.319466
0.49,6.355371
0.5,6.388903
0.51,6.420004
0.52,6.448616
0.53,6.474689
0.54,6.498296
0.55,6.519641
0.56,6.538932
0.57,6.556376
0.58,6.572185
0.59,6.586653
0.6,6.600155
0.61,6.613072
0.62,6.625781
0.63,6.638659
0.64,6.652003
0.65,6.666028
0.66,6.680947
0.67,6.696973
0.68,6.714303
0.69,6.732749
0.7,6.751745
0.71,6.770706
0.72,6.789046
0.73,6.806201
0.74,6.822054
0.75,6.836936
0.76,6.8512
0.77,6.865195
0.78,6.879267
0.79,6.893644
0.8,6.908432
0.81,6.923733
0.82,6.93965
0.83,6.956277
0.84,6.973535
0.85,6.99117
0.86,7.008924
0.87,7.026536
0.88,7.043748
0.89,7.060377
0.9,7.076311
0.91,7.091443
0.92,7.105665
0.93,7.118877
0.94,7.131201
0.95,7.142976
0.96,7.154552
0.97,7.166277
0.98,7.178489
0.99,7.191236
1.0,7.204277
1.01,7.21736
1.02,7.230231
1.03,7.242641
1.04,7.254373
1.05,7.265249
1.06,7.275091
1.07,7.283722
1.08,7.290988
1.09,7.297286
1.1,7.303564
1.11,7.310792
1.12,7.31994
1.13,7.33194
1.14,7.346769
1.15,7.363456
1.16,7.380987
1.17,7.39835
