ang_sep,delta_mag,sep,M_jup
0.0,0.0,0.0,620.4805689565412
0.067,3.166,2.178082637105427,172.14805361663645
0.124,4.42,4.03107831344885,99.93598839828
0.183,5.709,5.949091381944673,83.54181748596505
0.243,6.425,7.899613146516697,80.47493408406599
0.302,6.753,9.81762621501252,78.68534299764933
0.362,6.925,11.768147979584544,78.10406411776744
0.422,7.459,13.71866974415657,76.45877004682627
0.482,7.581,15.669191508728593,76.08287889204195
0.543,7.556,17.652221969376818,76.15990576802234
0.603,7.712,19.60274373394884,75.6792580619047
0.663,8.027,21.55326549852087,74.6639695711259
0.723,8.152,23.50378726309289,74.25476429182902
0.783,8.261,25.454309027664916,73.89793728828215
0.843,8.271,27.404830792236936,73.86520086593839
0.903,8.286,29.355352556808963,73.81609623242277
0.963,8.317,31.305874321380987,73.71461332315715
1.024,8.302,33.28890478202921,73.76371795667278
1.084,8.348,35.23942654660124,73.61313041389151
1.144,8.322,37.189948311173254,73.69824511198527
1.204,8.306,39.140470075745284,73.75062338773527
1.264,8.357,41.09099184031731,73.58366763378216
1.324,8.328,43.04151360488933,73.67860325857903
1.385,8.316,45.024544065537555,73.71788696539151
1.445,8.347,46.97506583010958,73.61640405612589
1.505,8.314,48.9255875946816,73.72443424986027
1.565,8.323,50.876109359253626,73.6949714697509
1.625,8.314,52.82663112382565,73.72443424986027
1.685,8.317,54.77715288839768,73.71461332315715
1.746,8.312,56.7601833490459,73.73098153432902
1.806,8.336,58.71070511361793,73.65241412070402
1.866,8.31,60.66122687818995,73.73752881879777
1.926,8.335,62.611748642761974,73.6556877629384
1.986,8.316,64.562270407334,73.71788696539151
2.047,8.3,66.54530086798222,73.77026524114152
2.107,8.314,68.49582263255425,73.72443424986027
2.167,8.319,70.44634439712627,73.70806603868839
2.227,8.308,72.39686616169828,73.74407610326652
2.287,8.284,74.34738792627032,73.82264351689152
2.347,8.306,76.29790969084235,73.75062338773527
2.408,8.298,78.28094015149057,73.77681252561027
2.468,8.282,80.23146191606259,73.82919080136027
2.528,8.296,82.18198368063462,73.78335981007902
2.588,8.234,84.13250544520665,73.98632562861027
2.648,8.226,86.08302720977866,74.01251476648527
2.708,8.226,88.0335489743507,74.01251476648527
2.769,8.202,90.01657943499892,74.09108218011026
2.829,8.195,91.96710119957095,74.1139976757509
2.889,8.219,93.91762296414295,74.0354302621259
2.949,8.233,95.86814472871498,73.98959927084465
3.009,8.231,97.818666493287,73.99614655531339
3.07,8.184,99.80169695393522,74.15000774032902
3.13,8.176,101.75221871850725,74.17619687820402
3.19,8.155,103.70274048307928,74.24494336512589
3.25,8.155,105.6532622476513,74.24494336512589
3.31,8.145,107.60378401222333,74.27767978746965
3.37,8.162,109.55430577679536,74.22202786948527
3.431,8.089,111.53733623744358,74.46100375259465
3.491,8.15,113.4878580020156,74.26131157629777
3.551,8.117,115.43837976658763,74.36934177003215
3.611,8.107,117.38890153115966,74.40207819237591
3.671,8.053,119.33942329573166,74.57885487303214
3.731,8.033,121.2899450603037,74.64432771771965
3.792,8.043,123.27297552095192,74.6115912953759
3.852,8.055,125.22349728552395,74.5723075885634
3.912,8.028,127.17401905009596,74.66069592889151
