ang_sep,delta_mag,sep,M_jup
0.0,0.0,0.0,884.4415483097445
0.166,2.317,14.278341648030278,415.1824699401465
0.303,5.074,26.062274212970927,119.30443070798712
0.45,5.666,38.70634784104593,96.25681071859884
0.594,6.264,51.092379150180626,85.56606693125549
0.742,6.63,63.82246688456907,83.10250820310053
0.889,6.98,76.46654051264407,83.4328449033924
1.037,7.071,89.1966282470325,82.93634249831949
1.182,7.221,101.66867366248064,82.11793194050698
1.33,7.231,114.39876139686909,82.06337123665283
1.478,7.256,127.12884913125752,81.9269694770174
1.625,7.277,139.77292275933254,81.81239199892364
1.772,7.291,152.41699638740755,81.73600701352781
1.92,7.346,165.14708412179598,81.4359231423299
2.068,7.304,177.87717185618442,81.6650780985174
2.216,7.172,190.60725959057288,82.3852793893924
2.362,7.296,203.16531911233443,81.70872666160074
2.51,7.242,215.89540684672286,82.00335446241323
2.659,7.276,228.71150868742473,81.81784806930906
2.805,7.291,241.26956820918633,81.73600701352781
2.953,7.3,253.99965594357474,81.68690238005907
3.101,7.316,266.7297436779632,81.59960525389239
3.249,7.341,279.45983141235166,81.46320349425697
3.395,7.342,292.0178909341132,81.45774742387157
3.543,7.318,304.7479786685017,81.58869311312156
3.691,7.319,317.4780664028901,81.58323704273614
3.839,7.334,330.20815413727854,81.50139598695489
3.985,7.291,342.7662136590401,81.73600701352781
4.133,7.335,355.49630139342855,81.49593991656948
4.282,7.324,368.3124032341304,81.55595669080907
4.429,7.312,380.9564768622054,81.62142953543406
4.576,7.301,393.6005504902804,81.68144630967365
4.724,7.282,406.33063822466886,81.78511164699655
4.872,7.317,419.06072595905727,81.59414918350697
5.019,7.333,431.7047995871323,81.50685205734032
5.166,7.309,444.34887321520733,81.63779774659031
5.314,7.292,457.07896094959574,81.7305509431424
5.462,7.312,469.80904868398414,81.62142953543406
5.609,7.319,482.4531223120592,81.58323704273614
5.757,7.314,495.1832100464476,81.61051739466322
5.904,7.315,507.8272836745226,81.60506132427781
6.053,7.299,520.6433855152245,81.69235845044447
6.199,7.317,533.2014450369861,81.59414918350697
6.347,7.343,545.9315327713746,81.45229135348615
6.495,7.334,558.6616205057629,81.50139598695489
6.643,7.303,571.3917082401514,81.67053416890282
6.79,7.335,584.0357818682264,81.49593991656948
6.938,7.305,596.7658696026148,81.65962202813198
7.086,7.329,609.4959573370033,81.52867633888198
7.233,7.334,622.1400309650783,81.50139598695489
7.38,7.29,634.7841045931533,81.74146308391323
7.528,7.318,647.5141923275417,81.58869311312156
7.676,7.324,660.2442800619302,81.55595669080907
