ang_sep,delta_mag,sep,M_jup
0.0,0.0,0.0,834.7608065537122
0.057,2.254,5.86299115408353,410.0461036625016
0.104,4.091,10.69738736885416,176.30153077486654
0.154,5.491,15.84036206541866,97.06649302186415
0.205,6.044,21.086196255914448,86.89658362043191
0.256,6.39,26.33203044641024,82.81186396895794
0.307,6.489,31.577864636906032,83.05879012531605
0.357,6.608,36.72083933347053,83.3556003536657
0.408,6.758,41.96667352396632,83.72973089360224
0.458,6.809,47.10964822053082,83.69216031030726
0.509,6.871,52.355482411026614,83.35388394641141
0.56,6.869,57.601316601522406,83.36479608718226
0.611,6.881,62.84715079201819,83.29932324255725
0.661,6.97,67.99012548858269,82.81373297825517
0.712,6.969,73.23595967907848,82.8191890486406
0.763,6.979,78.48179386957428,82.76462834478642
0.814,7.015,83.72762806007006,82.56820981091143
0.865,6.962,88.97346225056586,82.85738154133851
0.916,7.012,94.21929644106164,82.58457802206767
0.967,7.005,99.46513063155743,82.62277051476559
1.017,7.004,104.60810532812192,82.62822658515101
1.068,6.995,109.85393951861774,82.67733121861976
1.119,6.985,115.09977370911352,82.73189192247392
1.17,7.021,120.34560789960929,82.53547338859893
1.221,7.009,125.5914420901051,82.60094623322392
1.272,6.973,130.8372762806009,82.79736476709891
1.323,7.045,136.08311047109666,82.40452769934892
1.373,7.014,141.22608516766118,82.57366588129683
1.424,7.018,146.47191935815695,82.55184159975518
1.475,6.981,151.71775354865275,82.75371620401559
1.526,6.986,156.96358773914855,82.72643585208851
1.577,7.01,162.20942192964432,82.5954901628385
1.628,7.016,167.45525612014012,82.562753740526
1.679,6.983,172.70109031063592,82.74280406324476
1.73,6.998,177.94692450113172,82.66096300746351
1.78,6.997,183.0898991976962,82.66641907784893
1.831,7.003,188.33573338819198,82.63368265553642
1.882,6.987,193.58156757868778,82.7209797817031
1.933,6.996,198.82740176918358,82.67187514823434
1.984,6.99,204.07323595967938,82.70461157054683
2.035,6.984,209.31907015017518,82.73734799285934
2.086,6.986,214.56490434067092,82.72643585208851
2.137,6.972,219.81073853116675,82.80282083748435
2.187,7.003,224.9537132277312,82.63368265553642
2.238,7.017,230.19954741822704,82.55729767014058
2.289,6.986,235.44538160872284,82.72643585208851
2.34,6.975,240.69121579921858,82.78645262632809
2.391,6.984,245.9370499897144,82.73734799285934
2.441,6.982,251.08002468627888,82.74826013363017
2.492,6.979,256.3258588767747,82.76462834478642
2.543,6.926,261.5716930672705,83.0538000752135
2.594,6.98,266.81752725776624,82.75917227440101
2.645,6.917,272.06336144826207,83.10290470868226
2.696,6.931,277.30919563875784,83.02651972328643
2.746,6.97,282.45217033532236,82.81373297825517
2.797,6.908,287.69800452581813,83.152009342151
2.848,6.878,292.9438387163139,83.31569145371351
2.899,6.919,298.18967290680973,83.09199256791143
2.95,6.92,303.4355070973055,83.08653649752601
3.001,6.881,308.6813412878013,83.29932324255725
3.052,6.901,313.9271754782971,83.19020183484892
3.103,6.858,319.17300966879293,83.42481286142184
3.153,6.857,324.3159843653574,83.43026893180725
3.204,6.84,329.56181855585316,83.52302212835934
3.255,6.885,334.80765274634894,83.2774989610156
3.306,6.813,340.05348693684476,83.67033602876559
3.357,6.808,345.2993211273406,83.69761638069268
3.408,6.831,350.5451553178363,83.57212676182809
3.459,6.866,355.79098950833213,83.3811642983385
3.51,6.775,361.0368236988279,83.77213235479503
3.56,6.797,366.1797983953924,83.75763315493226
3.611,6.792,371.42563258588825,83.78491350685934
3.662,6.788,376.67146677638397,83.80455700158954
3.713,6.773,381.9173009668798,83.76714394759588
3.764,6.747,387.16313515737556,83.70229465400688
3.815,6.743,392.40896934787133,83.69231783960858
3.866,6.709,397.65480353836716,83.60751491722296
3.916,6.746,402.7977782349316,83.69980045040731
