ang_sep,delta_mag,sep,M_jup
0.0,0.0,0.0,923.9904349162241
0.152,2.327,10.340136054421762,427.3314744405311
0.278,5.041,18.911564625850332,126.00331752841952
0.408,5.896,27.75510204081631,94.10263509513997
0.544,6.198,37.00680272108842,87.78379585747187
0.68,6.681,46.25850340136052,82.99302669583247
0.812,7.001,55.23809523809521,83.79117184769707
0.948,7.162,64.4897959183673,82.95759048054957
1.083,7.27,73.67346938775506,82.36833487892459
1.217,7.265,82.78911564625847,82.39561523085166
1.352,7.224,91.97278911564622,82.61931411665374
1.487,7.25,101.15646258503396,82.47745628663291
1.622,7.283,110.34013605442172,82.29740596391416
1.757,7.266,119.52380952380946,82.39015916046624
1.892,7.288,128.7074829931972,82.27012561198707
2.027,7.3,137.89115646258497,82.20465276736208
2.161,7.257,147.00680272108835,82.439263793935
2.296,7.262,156.1904761904761,82.41198344200791
2.432,7.228,165.4421768707482,82.59748983511207
2.567,7.26,174.62585034013597,82.42289558277875
2.701,7.297,183.74149659863937,82.22102097851833
2.836,7.272,192.92517006802711,82.35742273815374
2.972,7.279,202.17687074829922,82.31923024545583
3.106,7.302,211.2925170068026,82.19374062659125
3.241,7.305,220.47619047619037,82.17737241543499
3.376,7.282,229.6598639455781,82.30286203429958
3.512,7.309,238.91156462585022,82.15554813389332
3.647,7.34,248.09523809523796,81.9864099519454
3.781,7.348,257.2108843537414,81.94276138886207
3.917,7.362,266.46258503401344,81.86637640346625
4.051,7.333,275.5782312925169,82.02460244464332
4.186,7.327,284.7619047619046,82.05733886695583
4.322,7.341,294.0136054421767,81.98095388155998
4.457,7.309,303.19727891156447,82.15554813389332
4.591,7.334,312.3129251700679,82.01914637425791
4.726,7.314,321.4965986394556,82.12826778196624
4.862,7.287,330.7482993197277,82.27558168237249
4.997,7.318,339.9319727891155,82.10644350042458
5.132,7.314,349.1156462585032,82.12826778196624
5.267,7.29,358.299319727891,82.25921347121624
5.402,7.32,367.48299319727874,82.09553135965375
5.537,7.287,376.66666666666646,82.27558168237249
5.672,7.326,385.85034013605423,82.06279493734124
5.807,7.323,395.034013605442,82.07916314849749
5.942,7.313,404.2176870748297,82.13372385235165
6.077,7.344,413.4013605442175,81.96458567040374
6.212,7.324,422.5850340136052,82.07370707811208
6.347,7.35,431.768707482993,81.93184924809124
6.482,7.333,440.95238095238074,82.02460244464332
6.617,7.376,450.1360544217685,81.7899914180704
6.752,7.34,459.3197278911562,81.9864099519454
6.887,7.351,468.50340136054393,81.92639317770582
7.022,7.335,477.68707482993176,82.0136903038725
7.157,7.356,486.8707482993195,81.89911282577874
7.292,7.326,496.05442176870724,82.06279493734124
7.427,7.323,505.23809523809496,82.07916314849749
7.562,7.305,514.4217687074828,82.17737241543499
7.697,7.337,523.6054421768705,82.00277816310167
