ang_sep,delta_mag,sep,M_jup
0.0,0.0,0.0,955.4351092800363
0.01,0.0,1.70241743275451,955.4351092800363
0.02,0.0,3.40483486550902,955.4351092800363
0.025848,0.0,4.400408580183857,955.4351092800363
0.03,0.271438,5.10725229826353,920.4968899959395
0.04,0.92516,6.80966973101804,799.7413863092834
0.05,1.578882,8.51208716377255,719.8595721927155
0.06,2.232603,10.21450459652706,613.6411553694768
0.07,2.886325,11.91692202928157,534.7166482770999
0.08,3.540047,13.61933946203608,434.56915429588287
0.09,4.193769,15.321756894790589,368.06235153336667
0.1,4.847491,17.0241743275451,272.0570676093465
0.1,4.847491,17.0241743275451,272.0570676093465
0.11,4.89043,18.72659176029961,267.04521071419254
0.12,4.93245,20.42900919305412,262.1406198589243
0.13,4.974164,22.13142662580863,257.27174544348725
0.14,5.016185,23.83384405856314,252.3670378678273
0.15,5.059124,25.53626149131765,247.35518097267334
0.16,5.103594,27.23867892407216,242.1646251579712
0.17,5.150207,28.941096356826673,238.54909362976906
0.18,5.199505,30.643513789581178,235.28594431916508
0.19,5.250367,32.34593122233569,231.91927020995294
0.2,5.300019,34.0483486550902,228.63268881577665
0.21,5.345609,35.75076608784471,225.61498065174493
0.22,5.38429,37.45318352059922,223.0545952713345
0.23,5.413343,39.15560095335373,221.13150961023302
0.24,5.433078,40.85801838610824,219.82520404723317
0.25,5.446832,42.56043581886275,218.91479478888502
0.26,5.458073,44.26285325161726,218.17072684697067
0.27,5.47027,45.965270684371774,217.3633790409453
0.28,5.486791,47.66768811712628,216.26981561523857
0.29,5.508745,49.37010554988078,214.8166292797888
0.3,5.534975,51.0725229826353,213.0804045563287
0.31,5.564227,52.77494041538981,211.14414662225863
0.32,5.595246,54.47735784814432,209.09092684730578
0.33,5.6268,56.17977528089883,207.0022941776884
0.34,5.658161,57.882192713653346,204.92643662708085
0.35,5.689108,59.58461014640785,202.8779826996342
0.36,5.719441,61.287027579162356,200.87017086064384
0.37,5.748959,62.98944501191687,198.91630576773122
0.38,5.77747,64.69186244467139,197.0290963475796
0.39,5.804918,66.39427987742589,195.21224937047188
0.4,5.83139,68.0966973101804,193.46000610400463
0.41,5.856977,69.7991147429349,191.8117832381252
0.42,5.881771,71.50153217568942,190.2462668925065
0.43,5.905865,73.20394960844393,188.72494920147898
0.44,5.929378,74.90636704119844,187.24031639376216
0.45,5.952453,76.60878447395295,185.78333931563228
0.46,5.975235,78.31120190670747,184.34486253149564
0.47,5.997869,80.01361933946197,182.91573060575823
0.48,6.020492,81.71603677221648,181.48729323030716
0.49,6.043013,83.41845420497098,180.0652962302395
0.5,6.06512,85.1208716377255,178.66943957731573
0.51,6.086489,86.82328907048002,177.32018093451802
0.52,6.106799,88.52570650323452,176.03778854202335
0.53,6.125734,90.22812393598903,174.84221493533258
0.54,6.143182,91.93054136874355,173.7405318991805
0.55,6.159231,93.63295880149806,172.72718303127553
0.56,6.17398,95.33537623425256,171.7959173790399
0.57,6.187526,97.03779366700707,170.94061027176596
0.58,6.199969,98.74021109976157,170.15494761594067
0.59,6.211502,100.44262853251608,169.46943317608557
0.6,6.222403,102.1450459652706,168.88649998847137
0.61,6.232958,103.84746339802511,168.322069221086
0.62,6.243451,105.54988083077961,167.760953916285
0.63,6.254154,107.25229826353413,167.1886088188596
