ang_sep,delta_mag,sep,M_jup
0.0,0.0,0.0,1096.4623143888998
0.053,2.892,3.871156234022352,462.4049757816917
0.099,3.849,7.2310276824191115,315.9463841876531
0.145,5.413,10.590899130815869,149.94560849732076
0.192,5.892,14.023811262873428,119.98832591487569
0.24,6.049,17.529764078591786,111.76493662479092
0.288,6.376,21.03571689431014,98.9995411869766
0.336,6.421,24.5416697100285,97.48431249612841
0.383,6.564,27.974581842086057,95.20490066307289
0.43,6.701,31.407493974143613,92.79151112065828
0.479,6.797,34.98648747352277,90.35166705208809
0.527,6.758,38.49244028924113,91.46589582677241
0.574,6.748,41.92535242129868,91.7515955125889
0.621,6.79,45.35826455335624,90.55165683215964
0.669,6.78,48.8642173690746,90.83735651797612
0.717,6.738,52.370170184792954,92.03729519840539
0.766,6.811,55.94916368417211,89.95168749194502
0.813,6.907,59.382075816229666,88.1581967891944
0.86,6.84,62.814987948287225,89.1231584030772
0.908,6.826,66.32094076400558,89.52313796322026
0.956,6.819,69.82689357972394,89.7231277432918
1.004,6.838,73.3328463954423,89.18029834024045
1.052,6.796,76.83879921116066,90.38023702066972
1.099,6.852,80.27171134321821,88.91630341164607
1.147,6.813,83.77766415893657,89.89454755478171
1.195,6.837,87.28361697465493,89.20886830882215
1.243,6.865,90.78956979037329,88.73711457361203
1.291,6.849,94.29552260609164,88.95765468196161
1.338,6.822,97.7284347381492,89.63741783754685
1.386,6.845,101.23438755386755,89.012789709049
1.434,6.838,104.74034036958591,89.18029834024045
1.482,6.868,108.24629318530427,88.69576330329649
1.53,6.846,111.75224600102263,88.99900595227716
1.577,6.815,115.18515813308018,89.83740761761838
1.625,6.831,118.69111094879854,89.380288120312
1.673,6.825,122.1970637645169,89.5517079318019
1.721,6.827,125.70301658023526,89.49456799463863
1.769,6.83,129.2089693959536,89.40885808889368
1.816,6.847,132.64188152801117,88.98522219550529
1.864,6.838,136.14783434372953,89.18029834024045
1.912,6.836,139.6537871594479,89.23743827740378
1.96,6.852,143.15973997516625,88.91630341164607
2.008,6.822,146.6656927908846,89.63741783754685
2.055,6.803,150.09860492294217,90.18024724059819
2.103,6.798,153.60455773866053,90.32309708350647
2.151,6.795,157.11051055437886,90.40880698925142
2.199,6.796,160.61646337009722,90.38023702066972
2.246,6.83,164.0493755021548,89.40885808889368
2.294,6.802,167.55532831787315,90.20881720917988
2.342,6.794,171.0612811335915,90.43737695783305
2.39,6.76,174.56723394930987,91.40875588960914
2.438,6.764,178.07318676502823,91.29447601528251
2.485,6.753,181.50609889708576,91.60874566968069
2.533,6.758,185.01205171280412,91.46589582677241
2.581,6.762,188.51800452852248,91.35161595244583
2.629,6.724,192.02395734424084,92.35343826907301
2.677,6.71,195.5299101599592,92.62009130916839
2.724,6.742,198.96282229201677,91.9230153240788
2.772,6.727,202.4687751077351,92.29629833190971
2.82,6.716,205.97472792345346,92.50581143484179
2.868,6.724,209.48068073917182,92.35343826907301
2.915,6.69,212.91359287122938,93.00102422359036
2.963,6.697,216.41954568694774,92.86769770354267
3.011,6.691,219.9254985026661,92.98197757786927
3.059,6.694,223.43145131838446,92.92483764070597
3.107,6.589,226.93740413410282,94.8120635950752
3.154,6.611,230.37031626616036,94.46636697523724
3.202,6.6,233.87626908187872,94.63921528515623
3.25,6.626,237.38222189759708,94.22000954974072
3.298,6.61,240.88817471331544,94.48208045795714
3.346,6.589,244.3941275290338,94.8120635950752
3.393,6.582,247.82703966109133,94.92205797411454
3.441,6.56,251.3329924768097,95.2677545939525
3.489,6.582,254.83894529252805,94.92205797411454
3.537,6.522,258.3448981082464,95.86486693730899
3.585,6.528,261.8508509239648,95.77058604098954
3.632,6.551,265.28376305602234,95.40917593843167
3.68,6.558,268.7897158717407,95.29918155939234
3.728,6.575,272.29566868745906,95.03205235315389
3.776,6.538,275.8016215031774,95.61345121379047
3.824,6.532,279.3075743188958,95.70773211010992
3.871,6.512,282.7404864509533,96.02200176450806
3.919,6.532,286.2464392666717,95.70773211010992
