ang_sep,delta_mag,sep,M_jup
0.0,0.0,0.0,1096.4623143888998
0.01,0.0,0.7304068366079911,1096.4623143888998
0.02,0.0,1.4608136732159822,1096.4623143888998
0.025848,0.0,1.887955591264335,1096.4623143888998
0.03,0.273457,2.191220509823973,1037.9353023246993
0.04,0.932041,2.9216273464319644,935.1876884503976
0.05,1.590626,3.652034183039955,820.4277013042046
0.06,2.24921,4.382441019647946,727.8193673438224
0.07,2.907794,5.112847856255938,652.2377808477341
0.08,3.566379,5.843254692863929,549.7599063770075
0.09,4.224963,6.573661529471919,451.8918333549809
0.1,4.883548,7.30406836607991,384.08185466694414
0.1,4.883548,7.30406836607991,384.08185466694414
0.11,4.91955,8.0344752026879,378.61599181784175
0.12,4.953709,8.764882039295893,373.4299352359162
0.13,4.987254,9.495288875903883,368.3370968026864
0.14,5.021414,10.225695712511875,363.1508883996716
0.15,5.057416,10.956102549119866,357.6850255505692
0.16,5.096489,11.686509385727858,351.75292013689835
0.17,5.139861,12.416916222335848,345.16813586126733
0.18,5.188679,13.147323058943838,337.75653393449977
0.19,5.242233,13.87772989555183,329.62590732984364
0.2,5.297952,14.60813673215982,321.1665880673267
0.21,5.353183,15.338543568767811,312.78135749628143
0.22,5.405276,16.0689504053758,304.87254150277283
0.23,5.451702,16.799357241983795,297.8240956210877
0.24,5.492775,17.529764078591786,291.5883480292545
0.25,5.531648,18.260170915199776,285.6866068333998
0.26,5.571599,18.990577751807766,280.36600299306855
0.27,5.615904,19.72098458841576,275.1947060429814
0.28,5.667719,20.45139142502375,269.14683895193605
0.29,5.727409,21.181798261631737,262.1797987769964
0.3,5.792548,21.91220509823973,254.5767491881976
0.31,5.860588,22.64261193484772,246.63509374335092
0.32,5.928982,23.373018771455715,239.64256867047263
0.33,5.995228,24.103425608063706,235.25759181075685
0.34,6.057907,24.833832444671696,231.10872297958025
0.35,6.11668,25.564239281279686,227.21840137561807
0.36,6.171255,26.294646117887677,223.6059551582013
0.37,6.221339,27.025052954495667,220.29077867898738
0.38,6.266662,27.75545979110366,217.29074386612473
0.39,6.30743,28.48586662771165,214.59221510035934
0.4,6.34433,29.21627346431964,212.14971825340228
0.41,6.378067,29.946680300927632,209.91658773508834
0.42,6.409349,30.677087137535622,207.8459593782723
0.43,6.438872,31.407493974143613,205.89176332372733
0.44,6.467121,32.1379008107516,204.02189629311243
0.45,6.494366,32.8683076473596,202.21848635827922
0.46,6.520868,33.59871448396759,200.46425732201766
0.47,6.546889,34.329121320575574,198.7418667947909
0.48,6.572697,35.05952815718357,197.03357523310348
0.49,6.598696,35.78993499379156,195.31264093705914
0.5,6.625428,36.52034183039955,193.54318766570802
0.51,6.65344,37.25074866700754,191.73801345627388
0.52,6.68328,37.98115550361553,189.85388795198807
0.53,6.715461,38.71156234022353,187.82194951856238
0.54,6.749688,39.44196917683152,185.66082473186034
0.55,6.78486,40.17237601343951,183.44003176146026
0.56,6.819839,40.9027828500475,181.23142499154028
0.57,6.853489,41.633189686655484,179.1067325244084
0.58,6.884708,42.363596523263475,177.135535670578
0.59,6.913216,43.09400335987147,175.33551389188568
0.6,6.939552,43.82441019647946,173.67263422429613
0.61,6.96429,44.55481703308745,172.11065377104478
0.62,6.988006,45.28522386969544,170.61320335349646
0.63,7.011272,46.01563070630343,169.23011371384464
0.64,7.034618,46.74603754291143,167.98168162522518
0.65,7.058529,47.47644437951942,166.70303604692566
0.66,7.083488,48.20685121612741,165.36834845590988
0.67,7.109978,48.9372580527354,163.95179032914177
0.68,7.138454,49.66766488934339,162.42903044926814
0.69,7.168718,50.398071725951375,160.81065690647802
0.7,7.199921,51.12847856255937,159.1420701480957
0.71,7.231185,51.85888539916736,157.47022140233202
0.72,7.26163,52.58929223577535,155.8421688478036
0.73,7.29041,53.319699072383344,154.30315250622613
0.74,7.317361,54.050105908991334,152.86194231088714
0.75,7.343007,54.780512745599324,151.4905172554286
0.76,7.367902,55.51091958220732,150.15925207740312
0.77,7.3926,56.24132641881531,148.83852151436352
0.78,7.417642,56.9717332554233,147.49939548150095
0.79,7.443268,57.70214009203129,146.12903993010192
0.8,7.46942,58.43254692863928,144.73055642193873
0.81,7.496027,59.16295376524728,143.3077416964227
0.82,7.523018,59.893360601855264,141.86439249296478
0.83,7.55031,60.623767438463254,140.4049472534119
0.84,7.577529,61.354174275071244,138.949405703676
0.85,7.604018,62.084581111679235,137.53290105211082
0.86,7.629102,62.814987948287225,136.1915290607234
0.87,7.652111,63.54539478489522,134.961118115506
0.88,7.672399,64.2758016215032,133.87621319757946
0.89,7.689948,65.0062084581112,132.93777686059738
0.9,7.705365,65.7366152947192,132.11334965635487
0.91,7.719287,66.46702213132718,131.36886788055776
0.92,7.732349,67.19742896793518,130.67037477931774
0.93,7.74518,67.92783580454316,129.98423444996467
0.94,7.758278,68.65824264115115,129.28381624141772
0.95,7.772007,69.38864947775915,128.63859440648164
0.96,7.786728,70.11905631436714,128.0840645250302
0.97,7.802798,70.84946315097513,127.47871874723482
0.98,7.820564,71.57986998758312,126.80948582325775
0.99,7.840029,72.3102768241911,126.07625274517521
1.0,7.86086,73.0406836607991,125.29156339251472
1.01,7.882708,73.7710904974071,124.46856435372987
1.02,7.905223,74.50149733401508,123.62043988658228
1.03,7.928064,75.23190417062308,122.7600352250625
1.04,7.951046,75.96231100723107,121.89431919113022
1.05,7.974137,76.69271784383906,121.02449720263786
1.06,7.997317,77.42312468044706,120.15132264574329
1.07,8.020563,78.15353151705504,119.27566191452803
1.08,8.043846,78.88393835366304,118.39860741892073
1.09,8.066987,79.61434519027102,117.52690196503391
1.1,8.089657,80.34475202687902,116.67293875516329
1.11,8.11152,81.07515886348702,115.8493746767601
1.12,8.13224,81.805565700095,115.06886661727545
1.13,8.151501,82.53597253670299,114.34331807800253
1.14,8.169379,83.26637937331097,113.66986619154176
1.15,8.186352,83.99678620991897,113.03050502872158
1.16,8.202914,84.72719304652695,112.40662595144427
1.17,8.219558,85.45759988313495,111.77965799091999
