ang_sep,delta_mag,sep,M_jup
0.0,0.0,0.0,1072.591820505635
0.139,1.984,21.66121240455035,600.4607428671926
0.252,5.269,39.270687237026536,155.22757191593638
0.372,6.517,57.971014492753454,94.89960747430702
0.495,6.482,77.13884992987354,95.44957936950377
0.617,7.242,96.15084930652925,82.9082583827553
0.738,7.508,115.00701262272057,83.38528078610096
0.86,7.68,134.01901199937626,83.78546040539722
0.981,7.764,152.8751753155676,83.32715049302222
1.104,7.807,172.04301075268768,83.0925394664493
1.225,7.801,190.899174068879,83.1252758887618
1.348,7.826,210.0670095059991,82.98887412912639
1.47,7.845,229.0790088826548,82.88520879180346
1.593,7.864,248.24684431977488,82.78154345448056
1.716,7.86,267.414679756895,82.80336773602221
1.837,7.889,286.27084307308627,82.64514169484514
1.96,7.919,305.4386785102064,82.48145958328263
2.082,7.879,324.4506778868621,82.6997023986993
2.204,7.851,343.46267726351783,82.85247236949097
2.327,7.888,362.6305127006379,82.65059776523056
2.45,7.851,381.798348137758,82.85247236949097
2.573,7.833,400.9661835748781,82.95068163642847
2.694,7.863,419.8223468910694,82.78699952486596
2.817,7.868,438.9901823281895,82.75971917293889
2.94,7.852,458.1580177653096,82.84701629910555
3.062,7.838,477.1700171419653,82.92340128450138
3.185,7.86,496.3378525790854,82.80336773602221
3.307,7.87,515.3498519557411,82.74880703216805
3.429,7.884,534.3618513323968,82.67242204677221
3.552,7.848,553.5296867695168,82.86884058064722
3.674,7.857,572.5416861461725,82.81973594717846
3.796,7.848,591.5536855228282,82.86884058064722
3.919,7.901,610.7215209599484,82.57966885022013
4.041,7.871,629.7335203366041,82.74335096178264
4.163,7.868,648.7455197132598,82.75971917293889
4.286,7.879,667.9133551503799,82.6997023986993
4.408,7.855,686.9253545270357,82.83064808794929
4.531,7.847,706.0931899641556,82.87429665103264
4.654,7.853,725.2610254012758,82.84156022872014
4.776,7.876,744.2730247779315,82.71607060985555
4.898,7.868,763.2850241545872,82.75971917293889
5.021,7.86,782.4528595917072,82.80336773602221
5.143,7.882,801.4648589683629,82.68333418754305
5.266,7.86,820.6326944054831,82.80336773602221
5.388,7.871,839.6446937821388,82.74335096178264
5.51,7.882,858.6566931587944,82.68333418754305
5.633,7.882,877.8245285959146,82.68333418754305
5.755,7.879,896.8365279725703,82.6997023986993
5.878,7.879,916.0043634096904,82.6997023986993
6.0,7.89,935.016362786346,82.63968562445972
6.123,7.866,954.1841982234662,82.77063131370971
6.245,7.871,973.1961976001219,82.74335096178264
6.367,7.875,992.2081969767776,82.72152668024096
6.49,7.906,1011.3760324138977,82.55238849829306
6.612,7.876,1030.3880317905534,82.71607060985555
6.735,7.886,1049.5558672276736,82.66150990600138
6.857,7.889,1068.567866604329,82.64514169484514
6.979,7.888,1087.5798659809848,82.65059776523056
7.102,7.851,1106.747701418105,82.85247236949097
7.224,7.877,1125.7597007947606,82.71061453947013
7.347,7.868,1144.9275362318808,82.75971917293889
7.469,7.881,1163.9395356085365,82.68879025792846
7.592,7.865,1183.1073710456565,82.77608738409513
7.714,7.88,1202.1193704223124,82.69424632831388
