ang_sep,delta_mag,sep,M_jup
0.0,0.0,0.0,955.4351092800362
0.056,2.642,9.533537623425255,409.9814153146391
0.103,3.99,17.534899557371453,217.7348096542338
0.152,5.824,25.87674497786855,98.484680785596
0.201,6.012,34.218590398365656,94.96463247576193
0.252,6.197,42.90091930541365,91.28617429435094
0.302,6.516,51.4130064691862,85.72825038111017
0.352,6.622,59.92509363295875,84.26717216329425
0.402,6.884,68.43718079673131,83.07814912897692
0.452,6.881,76.94926796050386,83.07066651817819
0.503,6.911,85.63159686755185,83.14549262616549
0.553,6.927,94.14368403132441,83.18539988375872
0.604,6.986,102.8260129383724,83.33255789613376
0.654,6.949,111.33810010214496,83.24027236294941
0.704,7.009,119.8501872659175,83.38992457892404
0.755,7.003,128.5325161729655,83.37495935732657
0.805,6.996,137.04460333673805,83.35749993212953
0.855,6.978,145.5566905005106,83.31260426733715
0.905,7.022,154.06877766428315,83.42234922571853
0.956,7.004,162.75110657133115,83.37745356092614
1.006,6.986,171.2631937351037,83.33255789613376
1.056,6.997,179.77528089887628,83.35999413572911
1.105,6.986,188.11712631937334,83.33255789613376
1.156,6.961,196.79945522642134,83.27020280614434
1.206,7.036,205.3115423901939,83.45726807611261
1.256,7.001,213.82362955396647,83.36997095012741
1.307,7.021,222.50595846101444,83.41985502211895
1.357,7.002,231.018045624787,83.37246515372699
1.407,7.007,239.53013278855957,83.38493617172487
1.457,6.981,248.04221995233212,83.32008687813588
1.508,7.001,256.7245488593801,83.36997095012741
1.558,7.029,265.23663602315264,83.43980865091557
1.609,7.001,273.9189649302007,83.36997095012741
1.659,7.0,282.4310520939732,83.36747674652784
1.709,7.0,290.94313925774577,83.36747674652784
1.759,7.009,299.4552264215183,83.38992457892404
1.81,6.984,308.1375553285663,83.32756948893461
1.859,7.013,316.4794007490634,83.39990139332234
1.91,6.981,325.1617296561114,83.32008687813588
1.96,7.023,333.67381681988394,83.4248434293181
2.01,6.994,342.1859039836565,83.35251152493038
2.06,6.977,350.6979911474291,83.31011006373757
2.11,6.991,359.2100783112016,83.34502891413165
2.161,6.963,367.8924072182496,83.27519121334349
2.211,6.962,376.40449438202216,83.27269700974392
2.261,6.962,384.9165815457947,83.27269700974392
2.312,6.962,393.5989104528427,83.27269700974392
2.362,6.933,402.1109976166153,83.20036510535618
2.412,6.901,410.6230847803878,83.12055059016973
2.463,6.925,419.3054136874358,83.18041147655957
2.513,6.932,427.81750085120837,83.19787090175662
2.563,6.931,436.32958801498097,83.19537669815703
2.614,6.912,445.0119169220289,83.14798682976507
2.664,6.91,453.5240040858015,83.14299842256592
2.714,6.887,462.036091249574,83.08563173977565
2.764,6.851,470.54817841334653,82.9958404101909
2.814,6.877,479.06026557711914,83.06068970377989
2.864,6.825,487.57235274089163,82.93099111660189
2.915,6.812,496.25468164793966,82.89856646980739
2.965,6.815,504.7667688117122,82.90604908060612
3.015,6.779,513.2788559754848,82.81625775102135
3.065,6.815,521.7909431392573,82.90604908060612
3.116,6.832,530.4732720463053,82.94845054179892
3.166,6.794,538.9853592100778,82.853670805015
3.216,6.785,547.4974463738505,82.83122297261882
3.266,6.793,556.0095335376229,82.85117660141543
3.317,6.761,564.691862444671,82.77136208622898
3.367,6.741,573.2039496084435,82.90970576313883
3.417,6.771,581.7160367722161,82.79630412222474
3.468,6.749,590.3983656792641,82.82590052196598
3.518,6.705,598.9104528430366,83.28682934841659
3.568,6.721,607.4225400068092,83.11921886607092
3.619,6.734,616.1048689138572,82.98303534916506
3.669,6.742,624.6169560776298,82.89923010799222
3.719,6.736,633.1290432414022,82.96208403887186
3.769,6.705,641.6411304051749,83.28682934841659
3.819,6.75,650.1532175689474,82.81542486681938
3.869,6.682,658.66530473272,83.5277694167885
3.92,6.673,667.3476336397679,83.62205031310795
