ang_sep,delta_mag,sep,M_jup
0.0,0.0,0.0,933.3787018153474
0.01,0.0,1.6954899966090202,933.3787018153474
0.02,0.0,3.3909799932180404,933.3787018153474
0.025848,0.0,4.382502543234995,933.3787018153474
0.03,0.28637,5.0864699898270604,882.8508638646905
0.04,0.976054,6.781959986436081,765.274495192022
0.05,1.665737,8.477449983045101,689.9242317862938
0.06,2.355421,10.172939979654121,581.3885996871883
0.07,3.045105,11.868429976263142,480.65318469822375
0.08,3.734788,13.563919972872162,400.6231045574875
0.09,4.424472,15.259409969481181,309.6933993051126
0.1,5.114155,16.954899966090203,230.75800592435976
0.1,5.114155,16.954899966090203,230.75800592435976
0.11,5.122033,18.650389962699222,230.2365427763833
0.12,5.129389,20.345879959308242,229.74963202282746
0.13,5.136571,22.04136995591726,229.27423873407824
0.14,5.143927,23.736859952526284,228.78732798052218
0.15,5.151804,25.4323499491353,228.26593102487226
0.16,5.16055,27.127839945744324,227.68701293751502
0.17,5.170513,28.823329942353343,227.0275387888367
0.18,5.182004,30.518819938962363,226.26692276530318
0.19,5.194547,32.214309935571386,225.4366724143173
0.2,5.206872,33.909799932180405,224.62085199050304
0.21,5.217675,35.60528992878942,223.905776287585
0.22,5.225651,37.300779925398444,223.37782629161399
0.23,5.229576,38.996269922007464,223.1180214101964
0.24,5.229997,40.691759918616484,223.09015444075015
0.25,5.229242,42.3872499152255,223.14012964723938
0.26,5.229715,44.08273991183452,223.10882067681635
0.27,5.233818,45.77822990844355,222.8372335612861
0.28,5.243914,47.47371990505257,222.1689558331865
0.29,5.261437,49.16920990166158,221.00906769635102
0.3,5.28689,50.8646998982706,219.32427441056257
0.31,5.320734,52.56018989487962,217.0840613133155
0.32,5.363432,54.25567989148865,214.25778135745182
0.33,5.415397,55.95116988809767,210.81809711213697
0.34,5.475937,57.646659884706686,206.81081366729197
0.35,5.543249,59.3421498813157,202.355275787553
0.36,5.615482,61.037639877924725,197.57400546922665
0.37,5.690786,62.733129874533745,192.59695401624987
0.38,5.767317,64.42861987114277,187.76471510979889
0.39,5.843388,66.12410986775178,182.96152103350795
0.4,5.91747,67.81959986436081,178.28391427719092
0.41,5.988037,69.51508986096982,173.82824790785662
0.42,6.053568,71.21057985757884,169.69286379558804
0.43,6.112585,72.90606985418786,166.53691774170068
0.44,6.164704,74.60155985079689,163.74984363792456
0.45,6.210631,76.2970498474059,161.29388799096031
0.46,6.25112,77.99253984401493,159.12873049776607
0.47,6.286925,79.68802984062394,157.2140508552997
0.48,6.318806,81.38351983723297,155.50920790930124
0.49,6.347698,83.07900983384198,153.96420234499075
0.5,6.374709,84.774499830451,152.51978363747338
0.51,6.400952,86.46998982706003,151.1164338858397
0.52,6.427543,88.16547982366905,149.6944747635712
0.53,6.455565,89.86096982027807,148.19599262584762
0.54,6.4854,91.5564598168871,146.60055994513297
0.55,6.516723,93.25194981349611,144.92555616239392
0.56,6.54918,94.94743981010514,143.18991149948286
0.57,6.582418,96.64292980671414,141.41250270304943
0.58,6.616087,98.33841980332316,139.61204609413448
0.59,6.649941,100.03390979993218,137.8016965726693
0.6,6.683838,101.7293997965412,135.9890476174764
0.61,6.71764,103.42488979315023,134.18147880656596
0.62,6.751209,105.12037978975924,132.38636971794833
0.63,6.784412,106.81586978636827,130.6108325536191
0.64,6.817237,108.5113597829773,128.85550901601363
0.65,6.849793,110.2068497795863,127.62768372493355
0.66,6.882193,111.90233977619533,126.40719814929147
0.67,6.91455,113.59782977280436,125.18833235388861
0.68,6.946973,115.29331976941337,123.96698038416511
0.69,6.979449,116.98880976602238,122.74363194112333
0.7,7.011842,118.6842997626314,121.52341005063643
0.71,7.044013,120.37978975924042,120.31155074650124
0.72,7.075823,122.07527975584945,119.11329006251435
0.73,7.107127,123.77076975245846,117.9340900483198
0.74,7.137691,125.46625974906749,116.78276532196415
0.75,7.167187,127.1617497456765,115.67167141643509
0.76,7.195285,128.85723974228554,114.61323920333658
0.77,7.221654,130.55272973889456,113.61993722358025
0.78,7.245974,132.24821973550357,112.70381965569089
0.79,7.268157,133.9437097321126,111.86820139876276
0.8,7.28835,135.63919972872162,111.10754506453623
0.81,7.306708,137.33468972533063,110.41601191028818
0.82,7.323388,139.03017972193965,109.7876878546798
0.83,7.338539,140.72566971854866,109.21696017083559
0.84,7.35217,142.42115971515767,108.70348983498442
0.85,7.364142,144.1166497117667,108.25251288092308
0.86,7.374313,145.81213970837572,107.86937835037199
0.87,7.382541,147.50762970498474,107.55943528505155
0.88,7.388688,149.20311970159378,107.3278820494505
0.89,7.392781,150.8986096982028,107.17370157225598
0.9,7.395004,152.5940996948118,107.08996270081613
0.91,7.395549,154.28958969142084,107.06943292801594
0.92,7.394608,155.98507968802986,107.10487974674058
0.93,7.392388,157.68056968463887,107.18850561025684
0.94,7.389382,159.37605968124788,107.30173954977472
0.95,7.386378,161.0715496778569,107.41489815067688
0.96,7.384175,162.76703967446593,107.49788363595894
0.97,7.383573,164.46252967107495,107.52056055930879
0.98,7.385345,166.15801966768396,107.45381054572742
0.99,7.389706,167.853509664293,107.28953469401833
1.0,7.396307,169.548999660902,107.0408795926352
1.01,7.404777,171.24448965751102,106.79925896544539
1.02,7.414742,172.93997965412007,106.64772523450617
1.03,7.425823,174.63546965072908,106.47922094222942
1.04,7.437502,176.3309596473381,106.3016231054367
1.05,7.449114,178.02644964394713,106.1250441105881
1.06,7.459992,179.72193964055614,105.95962675733605
1.07,7.469468,181.41742963716516,105.81552905192909
1.08,7.476891,183.1129196337742,105.70265048848081
