,ang_sep,delta_mag
0,0.0923787528868357,5.090909090909082
1,0.0993071593533485,5.520661157024785
2,0.110854503464203,5.702479338842967
3,0.1200923787528866,6.066115702479332
4,0.1293302540415702,6.363636363636356
5,0.1408775981524247,6.6280991735537125
6,0.1501154734411083,6.79338842975206
7,0.1593533487297919,7.024793388429746
8,0.1709006928406465,7.239669421487598
9,0.18013856812933,7.45454545454545
10,0.1916859122401846,7.586776859504128
11,0.1986143187066972,7.768595041322309
12,0.2101616628175518,7.933884297520657
13,0.2217090069284063,8.074380165289252
14,0.228637413394919,8.247933884297517
15,0.2401847575057735,8.413223140495864
16,0.2517321016166279,8.578512396694212
17,0.2586605080831406,8.67768595041322
18,0.2678983833718243,8.859504132231402
19,0.2794457274826788,9.041322314049584
20,0.2909930715935332,9.157024793388429
21,0.297921478060046,9.30578512396694
22,0.3094688221709005,9.454545454545451
23,0.3210161662817551,9.6198347107438
24,0.3279445727482677,9.752066115702478
25,0.3394919168591223,9.900826446280991
26,0.3487297921478058,10.049586776859504
27,0.3579676674364894,10.165289256198347
28,0.3695150115473439,10.24793388429752
29,0.3787528868360276,10.31404958677686
30,0.3856812933025403,10.380165289256198
31,0.3972286374133948,10.413223140495868
32,0.4087759815242492,10.462809917355372
33,0.4203233256351038,10.49586776859504
34,0.4295612009237874,10.545454545454549
35,0.4411085450346419,10.578512396694215
36,0.4503464203233256,10.62809917355372
37,0.4595842956120091,10.66115702479339
38,0.4688221709006928,10.694214876033058
39,0.4780600461893763,10.727272727272728
40,0.48729792147806,10.793388429752069
41,0.4965357967667435,10.826446280991735
42,0.5080831408775981,10.859504132231406
43,0.5196304849884525,10.90909090909091
44,0.5300230946882216,10.950413223140496
45,0.5381062355658198,10.991735537190085
46,0.5473441108545034,11.00826446280992
47,0.556581986143187,11.024793388429751
48,0.5658198614318707,11.057851239669422
49,0.5750577367205542,11.07438016528926
50,0.5854503464203232,11.090909090909092
51,0.5935334872979214,11.107438016528928
52,0.6027713625866051,11.123966942148762
53,0.6096997690531177,11.140495867768596
54,0.6189376443418013,11.15702479338843
55,0.628175519630485,11.173553719008266
56,0.6351039260969976,11.1900826446281
57,0.6420323325635104,11.206611570247937
58,0.6535796766743649,11.22314049586777
59,0.6651270207852193,11.22314049586777
60,0.6766743648960738,11.239669421487603
61,0.6882217090069284,11.25619834710744
62,0.697459584295612,11.272727272727272
63,0.7090069284064665,11.272727272727272
64,0.7205542725173211,11.28925619834711
65,0.7297921478060047,11.28925619834711
66,0.7413394919168591,11.305785123966944
67,0.7528868360277136,11.32231404958678
68,0.7621247113163973,11.338842975206614
69,0.771362586605081,11.355371900826448
70,0.7806004618937644,11.371900826446282
71,0.7898383371824481,11.388429752066116
72,0.7967667436489608,11.404958677685952
73,0.8060046189376443,11.438016528925624
74,0.815242494226328,11.454545454545457
75,0.8267898383371824,11.471074380165293
76,0.8383371824480369,11.487603305785123
77,0.8475750577367206,11.50413223140496
78,0.859122401847575,11.520661157024795
79,0.8683602771362587,11.537190082644631
80,0.8799076212471132,11.553719008264466
81,0.8914549653579676,11.5702479338843
82,0.9030023094688224,11.586776859504134
83,0.9122401847575058,11.603305785123968
84,0.9237875288683602,11.619834710743804
85,0.9353348729792148,11.636363636363638
86,0.9445727482678984,11.636363636363638
87,0.953810623556582,11.652892561983473
88,0.9630484988452658,11.669421487603309
89,0.97459584295612,11.669421487603309
90,0.983833718244804,11.685950413223145
91,0.9953810623556582,11.685950413223145
92,1.0069284064665127,11.685950413223145
93,1.0161662817551962,11.719008264462811
94,1.030023094688222,11.719008264462811
95,1.0392609699769055,11.735537190082647
96,1.048498845265589,11.735537190082647
97,1.0623556581986144,11.75206611570248
98,1.07621247113164,11.768595041322316
99,1.0900692840646653,11.768595041322316
100,1.1039260969976907,11.785123966942152
101,1.1154734411085454,11.785123966942152
102,1.1293302540415704,11.785123966942152
103,1.140877598152425,11.801652892561986
104,1.1524249422632793,11.801652892561986
105,1.1616628175519632,11.801652892561986
106,1.1732101616628174,11.801652892561986
107,1.184757505773672,11.801652892561986
108,1.1963048498845268,11.801652892561986
109,1.212471131639723,11.785123966942152
110,1.2240184757505777,11.785123966942152
111,1.2355658198614323,11.785123966942152
112,1.2494226327944573,11.768595041322316
113,1.260969976905312,11.768595041322316
114,1.2725173210161669,11.768595041322316
115,1.28175519630485,11.75206611570248
116,1.2956120092378756,11.75206611570248
117,1.3071593533487298,11.735537190082647
118,1.3163972286374137,11.735537190082647
119,1.327944572748268,11.719008264462811
120,1.3418013856812934,11.719008264462811
121,1.353348729792148,11.702479338842975
122,1.3672055427251737,11.685950413223145
123,1.3833718244803697,11.685950413223145
124,1.397228637413395,11.669421487603309
125,1.4064665127020786,11.669421487603309
126,1.4180138568129332,11.669421487603309
127,1.429561200923788,11.669421487603309
128,1.4434180138568131,11.669421487603309
129,1.4549653579676676,11.685950413223145
130,1.4665127020785222,11.702479338842975
131,1.4757505773672055,11.702479338842975
132,1.4896073903002311,11.719008264462811
133,1.5011547344110858,11.719008264462811
134,1.5150115473441108,11.735537190082647
135,1.5265588914549657,11.768595041322316
136,1.540415704387991,11.785123966942152
137,1.5519630484988456,11.818181818181822
138,1.5635103926096998,11.834710743801656
139,1.5750577367205545,11.867768595041325
140,1.58891454965358,11.88429752066116
141,1.6004618937644346,11.900826446280997
142,1.6120092378752888,11.933884297520663
143,1.6258660508083145,11.9504132231405
144,1.637413394919169,11.966942148760332
145,1.6512702078521944,11.98347107438017
146,1.6628175519630486,12.000000000000004
147,1.6743648960739033,12.016528925619838
